domain_slug,question_display_order,score,messenger_label
offer-design,3,0,مشتری گیج می‌شود یا تفاوت گزینه‌ها را نمی‌فهمد.
offer-design,3,1,چند گزینه داریم، اما تفاوت‌ها همیشه واضح نیست.
offer-design,3,2,نسبتاً قابل فهم
offer-design,3,3,گزینه‌ها کم، روشن و مقایسه‌پذیر
offer-design,4,0,نه، مشتری باید مستقیم تصمیم کامل بگیرد.
offer-design,4,1,گاهی تخفیف می‌دهیم، اما روش مشخصی برای کاهش ریسک نداریم.
offer-design,4,2,بعضی پیشنهادها، نمونه‌ها یا ضمانت‌ها برای کاهش ریسک داریم.
offer-design,4,3,مسیر کم‌ریسک، ضمانت یا دمو مشخص و قابل ارائه
offer-design,5,0,نه، تصمیم‌گیری معمولاً عقب می‌افتد.
offer-design,5,1,گاهی فوریت ایجاد می‌کنیم، اما بیشتر با تخفیف یا فشار.
offer-design,5,2,دلیل نسبتاً منطقی برای اقدام به‌موقع وجود دارد.
offer-design,5,3,فوریت با پیامد تأخیر/ظرفیت/ارزش فرصت توضیح داده می‌شود
lead-generation,1,0,نه، ورودی جدید کم و اتفاقی است.
lead-generation,1,1,بعضی ماه‌ها ورودی داریم، اما قابل پیش‌بینی نیست.
lead-generation,1,2,معمولاً ورودی جدید داریم، ولی هنوز برای رشد کافی نیست.
lead-generation,1,3,جریان ورودی جدید منظم، قابل پیگیری و متناسب با هدف فروش است.
lead-generation,2,0,نه، خیلی از ورودی‌ها نامناسب‌اند.
lead-generation,2,1,بعضی ورودی‌ها مناسب‌اند، اما کیفیت کلی نوسان دارد.
lead-generation,2,2,بیشتر ورودی‌ها تا حدی به مشتری مناسب نزدیک‌اند.
lead-generation,2,3,کانال‌ها برای جذب مشتری مناسب مدیریت می‌شوند
lead-generation,3,0,بیشتر فقط دیده می‌شویم و به مسیر فروش وصل نیست.
lead-generation,3,1,بعضی محتواها باعث پیام یا تعامل می‌شوند، اما مسیر مشخص نیست.
lead-generation,3,2,بیشتر فعالیت‌ها یک قدم بعدی برای مخاطب دارند.
lead-generation,3,3,هر فعالیت جذب، هدف، مخاطب، پیام و قدم بعدی مشخص دارد.
lead-generation,4,0,نه، دقیق نمی‌دانیم کدام روش واقعاً مشتری می‌آورد.
lead-generation,4,1,چند حدس داریم، اما داده مشخص نداریم.
lead-generation,4,2,تا حدی می‌دانیم کدام کانال بهتر است.
lead-generation,4,3,مقایسهٔ کانال‌ها بر اساس تعداد، کیفیت، هزینه و فروش
lead-generation,5,0,بیشتر منتظر معرفی، شانس یا مراجعه اتفاقی هستیم.
lead-generation,5,1,گاهی کمپین یا محتوا اجرا می‌کنیم، اما پیوسته نیست.
lead-generation,5,2,چند فعالیت جذب منظم داریم.
lead-generation,5,3,سیستم فعال و چندکاناله برای تولید سرنخ مناسب داریم.
lead-nurturing,1,0,نه، اگر نخرد معمولاً رها می‌شود.
lead-nurturing,1,1,گاهی بعداً پیگیری می‌کنیم، اما منظم نیست.
lead-nurturing,1,2,بعضی سرنخ‌ها با محتوا یا پیام پیگیری می‌شوند.
lead-nurturing,1,3,مسیر مشخص برای نگه‌داشتن و گرم‌کردن
lead-nurturing,2,0,نه، بیشتر محتواها معرفی محصول یا فروش مستقیم‌اند.
lead-nurturing,2,1,چند محتوای آموزشی داریم، اما به مسیر فروش وصل نیستند.
lead-nurturing,2,2,محتوای اعتمادساز و آموزشی وجود دارد.
lead-nurturing,2,3,محتوای پرورشی بر اساس نگرانی و مرحلهٔ تصمیم
lead-nurturing,3,0,نه، با همه تقریباً یکسان برخورد می‌کنیم.
lead-nurturing,3,1,به‌صورت ذهنی فرق می‌گذاریم، اما ثبت یا مسیر جدا نداریم.
lead-nurturing,3,2,تا حدی سرنخ‌ها را بر اساس آمادگی خرید تفکیک می‌کنیم.
lead-nurturing,3,3,برای هر سطح آمادگی، پیام، محتوا و پیگیری متفاوت داریم.
lead-nurturing,4,0,نه، معمولاً فراموش می‌شوند.
lead-nurturing,4,1,گاهی به بعضی‌ها پیام می‌دهیم.
lead-nurturing,4,2,بعضی کمپین‌ها یا پیگیری‌ها برای فعال‌سازی مجدد داریم.
lead-nurturing,4,3,برنامه منظم برای فعال‌سازی دوباره سرنخ‌های قبلی داریم.
lead-nurturing,5,0,نه، اصلاً نمی‌دانیم.
lead-nurturing,5,1,یک حس کلی داریم.
lead-nurturing,5,2,حدوداً می‌دانیم چرخه تصمیم چقدر است.
lead-nurturing,5,3,چرخه تصمیم را ثبت می‌کنیم و برای کوتاه‌تر کردن آن برنامه داریم.
speed-to-lead,1,0,زمان پاسخ نامنظم است و ممکن است خیلی دیر شود.
speed-to-lead,1,1,معمولاً جواب می‌دهیم، اما استاندارد زمانی مشخص نداریم.
speed-to-lead,1,2,در بیشتر موارد سریع پاسخ می‌دهیم.
speed-to-lead,1,3,زمان پاسخ اولیه استاندارد، اندازه‌گیری‌شده و قابل پیگیری است.
speed-to-lead,2,0,نه، سرنخ‌ها در دایرکت، واتساپ، تماس یا حافظه افراد پراکنده‌اند.
speed-to-lead,2,1,بعضی سرنخ‌ها ثبت می‌شوند، اما کامل نیست.
speed-to-lead,2,2,بیشتر سرنخ‌ها در یک فایل، CRM یا جدول ثبت می‌شوند.
speed-to-lead,2,3,همه با منبع، نیاز، وضعیت و مسئول ثبت می‌شوند
speed-to-lead,3,0,نه، مسئولیت‌ها مبهم است.
speed-to-lead,3,1,معمولاً معلوم است، اما گاهی سرنخ بین افراد گم می‌شود.
speed-to-lead,3,2,برای بیشتر سرنخ‌ها مسئول مشخص است.
speed-to-lead,3,3,مسئول، زمان و وضعیت کاملاً مشخص و قابل ردیابی
speed-to-lead,4,0,بله، زیاد پیش می‌آید.
speed-to-lead,4,1,گاهی پیش می‌آید، مخصوصاً وقتی کار زیاد می‌شود.
speed-to-lead,4,2,کمتر پیش می‌آید، اما هنوز کنترل کامل نداریم.
speed-to-lead,4,3,هیچ سرنخی بدون وضعیت و اقدام بعدی رها نمی‌شود.
speed-to-lead,5,0,نه، نمی‌دانیم.
speed-to-lead,5,1,حدس می‌زنیم اثر دارد، اما عدد نداریم.
speed-to-lead,5,2,تا حدی ارتباط سرعت پاسخ و فروش را بررسی کرده‌ایم.
speed-to-lead,5,3,سرعت پاسخ را اندازه می‌گیریم و اثرش روی تبدیل را تحلیل می‌کنیم.
lead-qualification,1,0,نه، هرکسی پیام بدهد یا تماس بگیرد برایمان لید محسوب می‌شود.
lead-qualification,1,1,به‌صورت ذهنی تشخیص می‌دهیم، اما معیار مشخص نداریم.
lead-qualification,1,2,چند معیار برای تشخیص لید مناسب داریم.
lead-qualification,1,3,معیار مشخص و مشترک برای مناسب/نامناسب/بااولویت
lead-qualification,2,0,نه، معمولاً سریع وارد توضیح و فروش می‌شویم.
lead-qualification,2,1,گاهی چند سؤال می‌پرسیم، اما ساختار ندارد.
lead-qualification,2,2,بیشتر وقت‌ها چند معیار اصلی را بررسی می‌کنیم.
lead-qualification,2,3,فرایند مشخص نیاز/بودجه/فوریت/اختیار/تناسب
lead-qualification,3,0,نه، ترتیب پیگیری معمولاً اتفاقی یا بر اساس آخرین پیام است.
lead-qualification,3,1,گاهی لیدهای مهم را تشخیص می‌دهیم، اما سیستم ندارد.
lead-qualification,3,2,معمولاً لیدهای مهم‌تر اولویت می‌گیرند.
lead-qualification,3,3,اولویت‌بندی ثبت‌شده و بر اساس امتیاز/معیار
lead-qualification,4,0,بله، زیاد.
lead-qualification,4,1,گاهی این اتفاق می‌افتد.
lead-qualification,4,2,تا حدی کنترل می‌کنیم که وقت روی لیدهای مناسب‌تر صرف شود.
lead-qualification,4,3,با صلاحیت‌سنجی و مسیر جدا، اتلاف وقت کم شده
lead-qualification,5,0,نه، همه تقریباً یک مسیر دارند.
lead-qualification,5,1,گاهی تفاوت قائل می‌شویم، اما مستند نیست.
lead-qualification,5,2,برای برخی گروه‌ها مسیر متفاوت داریم.
lead-qualification,5,3,برای هر سطح آمادگی، اقدام، پیام و زمان پیگیری مشخص داریم.
initial-trust,1,0,پاسخ‌ها کوتاه، دیر یا صرفاً اطلاعاتی‌اند.
initial-trust,1,1,پاسخ‌ها محترمانه‌اند، اما اعتمادسازی خاصی انجام نمی‌شود.
initial-trust,1,2,بیشتر پاسخ‌ها هم محترمانه‌اند هم کمک‌کننده.
initial-trust,1,3,پاسخ اولیه سریع، انسانی، تشخیصی و اعتمادساز طراحی شده است.
initial-trust,2,0,بیشتر فقط قیمت، شرایط یا توضیح محصول را می‌گوییم.
initial-trust,2,1,گاهی سؤال می‌پرسیم، اما بستگی به فرد دارد.
initial-trust,2,2,معمولاً چند سؤال ساده برای فهم نیاز می‌پرسیم.
initial-trust,2,3,چارچوب مشخصی برای پرسیدن سؤال‌های اولیه و فهم مسئله مشتری داریم.
initial-trust,3,0,نه، معمولاً مکالمه عمومی و سطحی است.
initial-trust,3,1,گاهی این حس ایجاد می‌شود.
initial-trust,3,2,در بیشتر مکالمه‌ها تلاش می‌کنیم مسئله مشتری را بازتاب دهیم.
initial-trust,3,3,پاسخ‌ها برای ایجاد حس فهمیده‌شدن طراحی شده‌اند
initial-trust,4,0,نه، معمولاً فقط جواب سؤال را می‌دهیم.
initial-trust,4,1,گاهی نمونه یا توضیح اضافه می‌دهیم.
initial-trust,4,2,در بیشتر مکالمه‌ها یک نشانه اعتمادساز وجود دارد.
initial-trust,4,3,دارایی‌های اعتمادساز آماده و قابل استفاده
initial-trust,5,0,نه، مکالمه معمولاً باز و نامشخص می‌ماند.
initial-trust,5,1,گاهی قدم بعدی گفته می‌شود.
initial-trust,5,2,در بیشتر موارد قدم بعدی مشخص است.
initial-trust,5,3,هر پاسخ با قدم بعدی روشن تمام می‌شود
needs-discovery,1,0,نه، معمولاً سریع وارد قیمت یا معرفی محصول می‌شویم.
needs-discovery,1,1,گاهی یک سؤال کلی می‌پرسیم.
needs-discovery,1,2,معمولاً مسئله اصلی مشتری را می‌پرسیم.
needs-discovery,1,3,کشف ساختارمند وضعیت، مسئله، هدف و معیار
needs-discovery,2,0,نه، همان چیزی را که مشتری اول می‌گوید مبنا قرار می‌دهیم.
needs-discovery,2,1,گاهی متوجه می‌شویم پشت درخواست اولیه مسئله دیگری هست.
needs-discovery,2,2,در بیشتر موارد با چند سؤال نیاز واقعی را بهتر می‌فهمیم.
needs-discovery,2,3,فرایند کشف، نیاز واقعی و اولویت را روشن می‌کند
needs-discovery,3,0,نه، بیشتر در ذهن فروشنده می‌ماند.
needs-discovery,3,1,گاهی یادداشت می‌شود، اما کامل و منظم نیست.
needs-discovery,3,2,اطلاعات اصلی مشتری در بیشتر موارد ثبت می‌شود.
needs-discovery,3,3,نیاز، هدف، مانع و معیار خرید منظم ثبت می‌شود
needs-discovery,4,0,نه، بیشتر پیشنهادها عمومی و یکسان‌اند.
needs-discovery,4,1,کمی شخصی‌سازی می‌کنیم، اما محدود.
needs-discovery,4,2,معمولاً پیشنهاد را تا حدی به نیاز مشتری وصل می‌کنیم.
needs-discovery,4,3,پیشنهاد بر اساس مسئله، هدف و معیار همان مشتری
needs-discovery,5,0,نه، معمولاً سریع وارد فروش می‌شویم.
needs-discovery,5,1,گاهی این حس ایجاد می‌شود.
needs-discovery,5,2,در بیشتر مکالمه‌ها مشتری حس می‌کند به حرفش گوش داده شده.
needs-discovery,5,3,کشف نیاز اعتماد و آمادگی را پیش از ارائه می‌سازد
presentation,1,0,بیشتر از محصول، امکانات یا قیمت شروع می‌کنیم.
presentation,1,1,گاهی به مسئله مشتری اشاره می‌کنیم.
presentation,1,2,معمولاً ارائه را به مسئله مشتری وصل می‌کنیم.
presentation,1,3,ارائه همیشه با خلاصه وضعیت و مسئله مشتری شروع می‌شود.
presentation,2,0,نه، ارائه عمومی است.
presentation,2,1,تا حدی متوجه می‌شود، اما هنوز سؤال زیاد دارد.
presentation,2,2,در بیشتر موارد ارتباط پیشنهاد با نیاز مشتری روشن است.
presentation,2,3,ارائهٔ شخصی‌سازی‌شده با دلیل تناسب واضح
presentation,3,0,نه، بعضی بخش‌ها مبهم می‌ماند.
presentation,3,1,بعضی موارد توضیح داده می‌شود، اما ساختار ثابت ندارد.
presentation,3,2,بیشتر ارائه‌ها شامل نتیجه، فرایند، قیمت و قدم بعدی است.
presentation,3,3,قالب کامل مسئله/راه‌حل/نتیجه/شواهد/قیمت/قدم بعدی
presentation,4,0,نه، بیشتر توضیح شفاهی می‌دهیم.
presentation,4,1,چند نمونه داریم، اما آماده و منظم نیست.
presentation,4,2,در بیشتر ارائه‌ها از نمونه یا مدرک استفاده می‌کنیم.
presentation,4,3,بانک نمونه، کیس، رضایت یا مدرک برای سناریوهای مختلف آماده است.
presentation,5,0,معمولاً هنوز ابهام دارد و تصمیم عقب می‌افتد.
presentation,5,1,گاهی قدم بعدی روشن است.
presentation,5,2,بیشتر مشتری‌ها بعد از ارائه قدم بعدی را می‌دانند.
presentation,5,3,ارائه با جمع‌بندی، رفع ابهام و اقدام بعدی روشن تمام می‌شود
objection-handling,1,0,نه، هر بار در لحظه با اعتراض‌ها روبه‌رو می‌شویم.
objection-handling,1,1,چند اعتراض رایج را می‌شناسیم، اما ثبت نکرده‌ایم.
objection-handling,1,2,اعتراض‌های پرتکرار را می‌شناسیم.
objection-handling,1,3,اعتراض‌های پرتکرار ثبت، دسته‌بندی و تحلیل شده‌اند.
objection-handling,2,0,پاسخ‌ها بداهه و وابسته به فرد است.
objection-handling,2,1,چند پاسخ آماده داریم، اما کامل نیست.
objection-handling,2,2,برای بیشتر اعتراض‌ها پاسخ منطقی داریم.
objection-handling,2,3,برای هر اعتراض مهم، پاسخ، مثال، مدرک و سؤال تکمیلی آماده داریم.
objection-handling,3,0,نه، مدرک مشخصی ارائه نمی‌کنیم.
objection-handling,3,1,گاهی نمونه یا رضایت مشتری نشان می‌دهیم.
objection-handling,3,2,در بیشتر موارد مدرک یا نمونه قابل ارائه داریم.
objection-handling,3,3,نمونه/کیس/رضایت/دمو/ضمانت برای تردیدهای مختلف
objection-handling,4,0,نه، معمولاً فقط از خودمان دفاع می‌کنیم یا تخفیف می‌دهیم.
objection-handling,4,1,گاهی تفاوت‌ها را توضیح می‌دهیم.
objection-handling,4,2,معمولاً مقایسه را با معیارهای درست مدیریت می‌کنیم.
objection-handling,4,3,چارچوب شفاف مقایسه و معیار انتخاب
objection-handling,5,0,نه، ریسک تصمیم با خود مشتری است.
objection-handling,5,1,گاهی قول یا اطمینان شفاهی می‌دهیم.
objection-handling,5,2,بعضی روش‌ها مثل ضمانت، دمو یا نمونه داریم.
objection-handling,5,3,کاهش ریسک به‌شکل مشخص در پیشنهاد و فرایند طراحی شده
closing,1,0,نه، معمولاً باید بپرسد حالا چه کار کند.
closing,1,1,گاهی قدم بعدی گفته می‌شود.
closing,1,2,در بیشتر موارد قدم بعدی مشخص است.
closing,1,3,مسیر اقدام، پرداخت، ثبت سفارش یا قرارداد کاملاً روشن و ساده است.
closing,2,0,مسیر پیچیده، کند یا وابسته به هماهنگی زیاد است.
closing,2,1,مسیر قابل انجام است، اما اصطکاک دارد.
closing,2,2,مسیر نسبتاً ساده است.
closing,2,3,مسیر خرید کوتاه، روشن، کم‌اصطکاک و قابل پیگیری است.
closing,3,0,نه، مشتری باید زیاد سؤال کند.
closing,3,1,بخشی از اطلاعات واضح است، اما همه چیز نه.
closing,3,2,بیشتر اطلاعات اصلی روشن است.
closing,3,3,همه اطلاعات لازم برای تصمیم و خرید شفاف، مرتب و قابل دسترسی است.
closing,4,0,پیگیری نامنظم است و فرصت‌ها از دست می‌روند.
closing,4,1,گاهی پیگیری می‌کنیم، اما به حافظه فرد وابسته است.
closing,4,2,بیشتر مشتری‌های آماده خرید پیگیری می‌شوند.
closing,4,3,پیگیری مشتری آماده خرید زمان‌بندی، مسئول و وضعیت مشخص دارد.
closing,5,0,نه، بعد از پرداخت یا سفارش ابهام دارد.
closing,5,1,گاهی تأیید می‌کنیم، اما ساختار ثابت ندارد.
closing,5,2,بیشتر خریدها با پیام تأیید و توضیح قدم بعدی همراه است.
closing,5,3,پیام تأیید، تشکر، زمان‌بندی و قدم بعدی استاندارد
loyalty,1,0,نه، معمولاً بعد از خرید ارتباط قطع می‌شود.
loyalty,1,1,فقط اگر مشتری خودش پیام بدهد یا مشکلی داشته باشد.
loyalty,1,2,گاهی بعد از خرید پیگیری می‌کنیم.
loyalty,1,3,مسیر مشخصی برای ارتباط بعد از خرید وجود دارد.
loyalty,2,0,نه، مگر اینکه خودش شکایت کند.
loyalty,2,1,گاهی از بعضی مشتری‌ها می‌پرسیم.
loyalty,2,2,در بیشتر موارد رضایت مشتری را می‌سنجیم.
loyalty,2,3,رضایت، نارضایتی و بازخورد مشتری ثبت و تحلیل می‌شود.
loyalty,3,0,نه، خرید مجدد اتفاقی است.
loyalty,3,1,گاهی پیشنهاد بعدی می‌دهیم.
loyalty,3,2,برای بعضی محصولات یا مشتری‌ها پیشنهاد بعدی داریم.
loyalty,3,3,مسیر خرید مجدد، پیشنهاد مکمل و زمان مناسب ارتباط طراحی شده است.
loyalty,4,0,نه، معمولاً درخواست معرفی نمی‌کنیم.
loyalty,4,1,گاهی از مشتری‌های راضی درخواست معرفی می‌کنیم.
loyalty,4,2,تا حدی مسیر معرفی یا درخواست نظر داریم.
loyalty,4,3,سیستم مشخص ارجاع/نظر/سوشال‌پروف
loyalty,5,0,نه، تجربه مشتری‌ها جمع‌آوری نمی‌شود.
loyalty,5,1,گاهی رضایت مشتری را منتشر می‌کنیم.
loyalty,5,2,بعضی تجربه‌های خوب را به محتوا یا نمونه تبدیل می‌کنیم.
loyalty,5,3,تبدیل منظم به کیس/محتوا/نظر/مدرک فروش
touchpoint-consistency,1,0,نه، جواب‌ها متفاوت و گاهی متناقض‌اند.
touchpoint-consistency,1,1,بعضی جواب‌ها هماهنگ‌اند، اما بستگی به فرد دارد.
touchpoint-consistency,1,2,در بیشتر کانال‌ها جواب‌ها نسبتاً هماهنگ‌اند.
touchpoint-consistency,1,3,پیام، پاسخ و اطلاعات اصلی در همه کانال‌ها یکدست و مستند است.
touchpoint-consistency,2,0,نه، لحن کاملاً وابسته به فرد یا کانال است.
touchpoint-consistency,2,1,تا حدی حرفه‌ای است، اما یکدست نیست.
touchpoint-consistency,2,2,بیشتر نقاط تماس لحن نسبتاً یکسان دارند.
touchpoint-consistency,2,3,لحن و استاندارد پاسخ تعریف‌شده و یکدست
touchpoint-consistency,3,0,نه، مشتری اغلب سردرگم می‌ماند.
touchpoint-consistency,3,1,گاهی قدم بعدی گفته می‌شود.
touchpoint-consistency,3,2,در بیشتر ارتباط‌ها قدم بعدی مشخص است.
touchpoint-consistency,3,3,هر نقطه تماس هدف، پیام و قدم بعدی مشخص دارد.
touchpoint-consistency,4,0,نه، نقاط تماس را ننوشته‌ایم.
touchpoint-consistency,4,1,بعضی نقاط تماس را می‌شناسیم، اما نقشه کامل نداریم.
touchpoint-consistency,4,2,نقاط تماس اصلی را مشخص کرده‌ایم.
touchpoint-consistency,4,3,نقشه کامل نقاط تماس، هدف، پیام، مسئول و حس مطلوب مشتری مشخص است.
touchpoint-consistency,5,0,نه، معمولاً فقط وقتی شکایت جدی شود می‌فهمیم.
touchpoint-consistency,5,1,گاهی متوجه می‌شویم، اما اصلاح سیستماتیک نیست.
touchpoint-consistency,5,2,بیشتر مشکلات تجربه مشتری را شناسایی و اصلاح می‌کنیم.
touchpoint-consistency,5,3,پایش، بازخوردگیری و بهینه‌سازی منظم
sales-journey-clarity,1,0,نه، معمولاً نمی‌دانیم از کجا آمده.
sales-journey-clarity,1,1,گاهی از خودش می‌پرسیم، اما جایی ثبت نمی‌کنیم.
sales-journey-clarity,1,2,بیشتر وقت‌ها می‌دانیم از کدام کانال آمده.
sales-journey-clarity,1,3,منبع ورود هر مشتری مشخص و ثبت‌شده
sales-journey-clarity,2,0,نه، معمولاً فقط ما را می‌بیند و معلوم نیست بعدش باید چه کار کند.
sales-journey-clarity,2,1,تا حدی مشخص است، ولی همیشه واضح نیست.
sales-journey-clarity,2,2,در بیشتر جاها قدم بعدی مشخص است.
sales-journey-clarity,2,3,قدم بعدی هر مرحله تعریف‌شده
sales-journey-clarity,3,0,نه، فقط می‌بینیم بعضی‌ها نمی‌خرند.
sales-journey-clarity,3,1,حدس‌هایی داریم، ولی مطمئن نیستیم.
sales-journey-clarity,3,2,تقریباً می‌دانیم کجا گیر می‌کنند، اما عدد دقیق نداریم.
sales-journey-clarity,3,3,نقاط ریزش مشخص و پایش‌شده
sales-journey-clarity,4,0,نه، بیشتر کارها را انجام می‌دهیم به امید اینکه فروش بیشتر شود.
sales-journey-clarity,4,1,ارتباط مبهم
sales-journey-clarity,4,2,بیشتر فعالیت‌ها هدف مشخص دارند.
sales-journey-clarity,4,3,هر فعالیت به یک مرحلهٔ مشخص قیف متصل
sales-journey-clarity,5,0,تقریباً نمی‌شود گفت؛ بستگی به بازار و اتفاقات ماه دارد.
sales-journey-clarity,5,1,یک حدس کلی می‌زنیم، بیشتر بر اساس تجربه ماه‌های قبل.
sales-journey-clarity,5,2,پیش‌بینی نسبی
sales-journey-clarity,5,3,پیش‌بینی داده‌محور و قابل اتکا
measurement-optimization,1,0,نه، تعداد ورودی‌ها را دقیق نمی‌دانیم.
measurement-optimization,1,1,حدودی می‌دانیم، اما ثبت منظم نداریم.
measurement-optimization,1,2,بیشتر ورودی‌ها را ثبت می‌کنیم.
measurement-optimization,1,3,تعداد ورودی به‌تفکیک کانال مشخص
measurement-optimization,2,0,نه، نرخ تبدیل را نمی‌دانیم.
measurement-optimization,2,1,یک حس کلی داریم.
measurement-optimization,2,2,تا حدی نرخ تبدیل پیام، تماس یا استعلام به خرید را می‌دانیم.
measurement-optimization,2,3,نرخ تبدیل مراحل مختلف فروش را منظم اندازه‌گیری می‌کنیم.
measurement-optimization,3,0,نه، فقط می‌دانیم نخرید.
measurement-optimization,3,1,گاهی حدس می‌زنیم دلیل یا نقطه توقف چه بوده.
measurement-optimization,3,2,در بیشتر موارد نقطه توقف را می‌دانیم.
measurement-optimization,3,3,نقطه ریزش و علت احتمالی آن ثبت و تحلیل می‌شود.
measurement-optimization,4,0,نه، اثر فعالیت‌ها مشخص نیست.
measurement-optimization,4,1,بعضی نتایج را می‌بینیم، اما کامل به فروش وصل نیست.
measurement-optimization,4,2,بیشتر فعالیت‌ها از نظر ورودی یا فروش بررسی می‌شوند.
measurement-optimization,4,3,اثر هر فعالیت روی سرنخ، کیفیت لید، فروش و سودآوری تحلیل می‌شود.
measurement-optimization,5,0,نه، اصلاح‌ها بیشتر بر اساس حدس است.
measurement-optimization,5,1,گاهی عددها را نگاه می‌کنیم، اما پیگیری بعد از اصلاح نداریم.
measurement-optimization,5,2,معمولاً بر اساس داده اصلاح می‌کنیم.
measurement-optimization,5,3,چرخه منظم اندازه‌گیری، تحلیل، اصلاح، تست و بهینه‌سازی داریم.
