سؤال,شماره دامنه,شماره سؤال,عنوان دامنه,گزینه ۰,گزینه ۱,گزینه ۲,گزینه ۳
وقتی پیشنهاد خرید را به مشتری می‌دهید، دقیقاً می‌فهمد چه چیزی دریافت می‌کند؟,3,1,طراحی پیشنهاد، قیمت‌گذاری و بسته‌بندی خرید,نه، معمولاً مشتری درباره جزئیات زیاد سؤال می‌پرسد.,کلیات را می‌فهمد، اما بخش‌هایی از خروجی یا شرایط مبهم است.,بیشتر موارد پیشنهاد روشن است، ولی هنوز جای ساده‌سازی دارد.,پیشنهاد کاملاً روشن است و مشتری دقیقاً می‌داند چه می‌گیرد.
قیمت شما برای مشتری چقدر با ارزش و نتیجه‌ای که دریافت می‌کند قابل توجیه است؟,3,2,طراحی پیشنهاد، قیمت‌گذاری و بسته‌بندی خرید,معمولاً قیمت برای مشتری زیاد به نظر می‌رسد و سریع اعتراض می‌کند.,گاهی ارزش را توضیح می‌دهیم، اما بیشتر دفاع از قیمت می‌کنیم.,معمولاً قیمت را کنار نتیجه و ارزش توضیح می‌دهیم.,قیمت‌گذاری با ارزش ادراک‌شده، نتیجه، مقایسه و کاهش ریسک پشتیبانی می‌شود.
گزینه‌ها، پکیج‌ها یا پلن‌های خرید شما چقدر ساده و قابل انتخاب‌اند؟,3,3,طراحی پیشنهاد، قیمت‌گذاری و بسته‌بندی خرید,مشتری گیج می‌شود یا تفاوت گزینه‌ها را نمی‌فهمد.,چند گزینه داریم، اما تفاوت‌ها همیشه واضح نیست.,گزینه‌ها نسبتاً قابل فهم‌اند، اما هنوز می‌توانند بهتر بسته‌بندی شوند.,گزینه‌ها کم، روشن، مقایسه‌پذیر و متناسب با نیازهای مختلف مشتری‌اند.
آیا برای مشتری راهی وجود دارد که با ریسک کمتر خرید را شروع کند؟,3,4,طراحی پیشنهاد، قیمت‌گذاری و بسته‌بندی خرید,نه، مشتری باید مستقیم تصمیم کامل بگیرد.,گاهی تخفیف می‌دهیم، اما روش مشخصی برای کاهش ریسک نداریم.,بعضی پیشنهادها، نمونه‌ها یا ضمانت‌ها برای کاهش ریسک داریم.,مسیر شروع کم‌ریسک، ضمانت، نمونه، دمو یا گزینه آزمایشی مشخص و قابل ارائه داریم.
بعد از دیدن پیشنهاد، مشتری معمولاً می‌داند چرا باید همین حالا اقدام کند؟,3,5,طراحی پیشنهاد، قیمت‌گذاری و بسته‌بندی خرید,نه، تصمیم‌گیری معمولاً عقب می‌افتد.,گاهی فوریت ایجاد می‌کنیم، اما بیشتر با تخفیف یا فشار.,دلیل نسبتاً منطقی برای اقدام به‌موقع وجود دارد.,فوریت تصمیم‌گیری با پیامد تأخیر، ظرفیت، زمان‌بندی یا ارزش فرصت به‌خوبی توضیح داده می‌شود.
در یک ماه معمولی، آیا به اندازه کافی آدم جدید با کسب‌وکار شما آشنا می‌شود؟,4,1,تولید سرنخ,نه، ورودی جدید کم و اتفاقی است.,بعضی ماه‌ها ورودی داریم، اما قابل پیش‌بینی نیست.,معمولاً ورودی جدید داریم، ولی هنوز برای رشد کافی نیست.,جریان ورودی جدید منظم، قابل پیگیری و متناسب با هدف فروش است.
آدم‌هایی که از تبلیغ، محتوا، پیج، سایت یا معرفی با شما آشنا می‌شوند، معمولاً به مشتری مناسب شما نزدیک هستند؟,4,2,تولید سرنخ,نه، خیلی از ورودی‌ها نامناسب‌اند.,بعضی ورودی‌ها مناسب‌اند، اما کیفیت کلی نوسان دارد.,بیشتر ورودی‌ها تا حدی به مشتری مناسب نزدیک‌اند.,کانال‌ها طوری مدیریت می‌شوند که ورودی‌ها عمدتاً با مشتری مناسب هم‌خوان باشند.
وقتی محتوا، استوری، تبلیغ یا پست منتشر می‌کنید، نتیجه‌اش فقط دیده‌شدن است یا آدم‌ها را یک قدم به خرید نزدیک‌تر می‌کند؟,4,3,تولید سرنخ,بیشتر فقط دیده می‌شویم و به مسیر فروش وصل نیست.,بعضی محتواها باعث پیام یا تعامل می‌شوند، اما مسیر مشخص نیست.,بیشتر فعالیت‌ها یک قدم بعدی برای مخاطب دارند.,هر فعالیت جذب، هدف، مخاطب، پیام و قدم بعدی مشخص دارد.
آیا می‌دانید از بین روش‌های مختلف جذب مشتری، کدام روش برای شما بهتر و قابل‌تکرارتر است؟,4,4,تولید سرنخ,نه، دقیق نمی‌دانیم کدام روش واقعاً مشتری می‌آورد.,چند حدس داریم، اما داده مشخص نداریم.,تا حدی می‌دانیم کدام کانال بهتر است.,کانال‌ها را از نظر تعداد، کیفیت، هزینه و فروش نهایی مقایسه می‌کنیم.
آیا برای جذب مشتری فقط منتظر معرفی یا اتفاقات بیرونی هستید یا سیستم فعال تولید سرنخ دارید؟,4,5,تولید سرنخ,بیشتر منتظر معرفی، شانس یا مراجعه اتفاقی هستیم.,گاهی کمپین یا محتوا اجرا می‌کنیم، اما پیوسته نیست.,چند فعالیت جذب منظم داریم.,سیستم فعال و چندکاناله برای تولید سرنخ مناسب داریم.
وقتی کسی امروز آماده خرید نیست، آیا راهی دارید که در ارتباط با شما بماند؟,5,1,پرورش سرنخ‌ها,نه، اگر نخرد معمولاً رها می‌شود.,گاهی بعداً پیگیری می‌کنیم، اما منظم نیست.,بعضی سرنخ‌ها با محتوا یا پیام پیگیری می‌شوند.,مسیر مشخصی برای نگه داشتن، آموزش و گرم‌کردن سرنخ‌های ناآماده داریم.
آیا سرنخ‌هایی که قبلاً علاقه نشان داده‌اند ولی نخریده‌اند، دوباره فعال می‌شوند؟,5,4,پرورش سرنخ‌ها,نه، معمولاً فراموش می‌شوند.,گاهی به بعضی‌ها پیام می‌دهیم.,بعضی کمپین‌ها یا پیگیری‌ها برای فعال‌سازی مجدد داریم.,برنامه منظم برای فعال‌سازی دوباره سرنخ‌های قبلی داریم.
آیا محتوایی دارید که قبل از فروش مستقیم، مشکل، پیامد و راه‌حل را برای مشتری روشن‌تر کند؟,5,2,پرورش سرنخ‌ها,نه، بیشتر محتواها معرفی محصول یا فروش مستقیم‌اند.,چند محتوای آموزشی داریم، اما به مسیر فروش وصل نیستند.,محتوای اعتمادساز و آموزشی وجود دارد.,محتوای پرورشی بر اساس نگرانی، مرحله تصمیم و نوع مشتری طراحی شده است.
آیا می‌دانید سرنخ‌ها معمولاً چه مدت طول می‌کشد تا از آشنایی به خرید برسند؟,5,5,پرورش سرنخ‌ها,نه، اصلاً نمی‌دانیم.,یک حس کلی داریم.,حدوداً می‌دانیم چرخه تصمیم چقدر است.,چرخه تصمیم را ثبت می‌کنیم و برای کوتاه‌تر کردن آن برنامه داریم.
آیا سرنخ‌های سرد، گرم و آماده خرید را از هم جدا می‌کنید؟,5,3,پرورش سرنخ‌ها,نه، با همه تقریباً یکسان برخورد می‌کنیم.,به‌صورت ذهنی فرق می‌گذاریم، اما ثبت یا مسیر جدا نداریم.,تا حدی سرنخ‌ها را بر اساس آمادگی خرید تفکیک می‌کنیم.,برای هر سطح آمادگی، پیام، محتوا و پیگیری متفاوت داریم.
وقتی سرنخ جدید پیام می‌دهد، تماس می‌گیرد یا فرم پر می‌کند، معمولاً چقدر سریع پاسخ می‌گیرد؟,6,1,سرعت ارتباط اولیه و ثبت سرنخ,زمان پاسخ نامنظم است و ممکن است خیلی دیر شود.,معمولاً جواب می‌دهیم، اما استاندارد زمانی مشخص نداریم.,در بیشتر موارد سریع پاسخ می‌دهیم.,زمان پاسخ اولیه استاندارد، اندازه‌گیری‌شده و قابل پیگیری است.
آیا همه سرنخ‌ها در یک محل مشخص ثبت می‌شوند؟,6,2,سرعت ارتباط اولیه و ثبت سرنخ,نه، سرنخ‌ها در دایرکت، واتساپ، تماس یا حافظه افراد پراکنده‌اند.,بعضی سرنخ‌ها ثبت می‌شوند، اما کامل نیست.,بیشتر سرنخ‌ها در یک فایل، CRM یا جدول ثبت می‌شوند.,همه سرنخ‌ها با منبع، نیاز، وضعیت، مسئول و پیگیری بعدی ثبت می‌شوند.
آیا مشخص است چه کسی مسئول پیگیری هر سرنخ است؟,6,3,سرعت ارتباط اولیه و ثبت سرنخ,نه، مسئولیت‌ها مبهم است.,معمولاً معلوم است، اما گاهی سرنخ بین افراد گم می‌شود.,برای بیشتر سرنخ‌ها مسئول مشخص است.,مسئول، زمان پیگیری و وضعیت هر سرنخ کاملاً مشخص و قابل ردیابی است.
آیا سرنخ‌ها بدون پیگیری یا تعیین وضعیت رها می‌شوند؟,6,4,سرعت ارتباط اولیه و ثبت سرنخ,بله، زیاد پیش می‌آید.,گاهی پیش می‌آید، مخصوصاً وقتی کار زیاد می‌شود.,کمتر پیش می‌آید، اما هنوز کنترل کامل نداریم.,هیچ سرنخی بدون وضعیت و اقدام بعدی رها نمی‌شود.
آیا می‌دانید تأخیر در پاسخ‌گویی چقدر روی از دست رفتن مشتری اثر می‌گذارد؟,6,5,سرعت ارتباط اولیه و ثبت سرنخ,نه، نمی‌دانیم.,حدس می‌زنیم اثر دارد، اما عدد نداریم.,تا حدی ارتباط سرعت پاسخ و فروش را بررسی کرده‌ایم.,سرعت پاسخ را اندازه می‌گیریم و اثرش روی تبدیل را تحلیل می‌کنیم.
آیا می‌دانید کدام سرنخ واقعاً مناسب کسب‌وکار شماست؟,7,1,صلاحیت‌سنجی و اولویت‌بندی سرنخ‌ها,نه، هرکسی پیام بدهد یا تماس بگیرد برایمان لید محسوب می‌شود.,به‌صورت ذهنی تشخیص می‌دهیم، اما معیار مشخص نداریم.,چند معیار برای تشخیص لید مناسب داریم.,معیارهای مشخص و مشترک برای تشخیص لید مناسب، نامناسب و بااولویت داریم.
آیا قبل از صرف وقت زیاد، نیاز، بودجه، فوریت و اختیار تصمیم مشتری را بررسی می‌کنید؟,7,2,صلاحیت‌سنجی و اولویت‌بندی سرنخ‌ها,نه، معمولاً سریع وارد توضیح و فروش می‌شویم.,گاهی چند سؤال می‌پرسیم، اما ساختار ندارد.,بیشتر وقت‌ها چند معیار اصلی را بررسی می‌کنیم.,فرایند مشخصی برای بررسی نیاز، بودجه، فوریت، اختیار و تناسب داریم.
آیا لیدهای باارزش‌تر سریع‌تر یا جدی‌تر پیگیری می‌شوند؟,7,3,صلاحیت‌سنجی و اولویت‌بندی سرنخ‌ها,نه، ترتیب پیگیری معمولاً اتفاقی یا بر اساس آخرین پیام است.,گاهی لیدهای مهم را تشخیص می‌دهیم، اما سیستم ندارد.,معمولاً لیدهای مهم‌تر اولویت می‌گیرند.,اولویت‌بندی لیدها ثبت‌شده و بر اساس امتیاز یا معیار مشخص انجام می‌شود.
آیا وقت فروشنده روی آدم‌های نامناسب زیاد مصرف می‌شود؟,7,4,صلاحیت‌سنجی و اولویت‌بندی سرنخ‌ها,بله، زیاد.,گاهی این اتفاق می‌افتد.,تا حدی کنترل می‌کنیم که وقت روی لیدهای مناسب‌تر صرف شود.,با صلاحیت‌سنجی، مسیر جدا و پاسخ آماده، اتلاف وقت روی لیدهای نامناسب کم شده است.
آیا برای لیدهای سرد، گرم و آماده خرید مسیر متفاوتی دارید؟,7,5,صلاحیت‌سنجی و اولویت‌بندی سرنخ‌ها,نه، همه تقریباً یک مسیر دارند.,گاهی تفاوت قائل می‌شویم، اما مستند نیست.,برای برخی گروه‌ها مسیر متفاوت داریم.,برای هر سطح آمادگی، اقدام، پیام و زمان پیگیری مشخص داریم.
وقتی مشتری پیام می‌دهد یا تماس می‌گیرد، اولین پاسخ شما چقدر حس حرفه‌ای بودن و توجه ایجاد می‌کند؟,8,1,کیفیت ارتباط اولیه و اعتمادسازی,پاسخ‌ها کوتاه، دیر یا صرفاً اطلاعاتی‌اند.,پاسخ‌ها محترمانه‌اند، اما اعتمادسازی خاصی انجام نمی‌شود.,بیشتر پاسخ‌ها هم محترمانه‌اند هم کمک‌کننده.,پاسخ اولیه سریع، انسانی، تشخیصی و اعتمادساز طراحی شده است.
آیا در اولین ارتباط فقط جواب می‌دهید یا سؤال درست هم می‌پرسید؟,8,2,کیفیت ارتباط اولیه و اعتمادسازی,بیشتر فقط قیمت، شرایط یا توضیح محصول را می‌گوییم.,گاهی سؤال می‌پرسیم، اما بستگی به فرد دارد.,معمولاً چند سؤال ساده برای فهم نیاز می‌پرسیم.,چارچوب مشخصی برای پرسیدن سؤال‌های اولیه و فهم مسئله مشتری داریم.
آیا مشتری در همان ارتباط اول حس می‌کند مشکلش فهمیده شده؟,8,3,کیفیت ارتباط اولیه و اعتمادسازی,نه، معمولاً مکالمه عمومی و سطحی است.,گاهی این حس ایجاد می‌شود.,در بیشتر مکالمه‌ها تلاش می‌کنیم مسئله مشتری را بازتاب دهیم.,پاسخ‌ها طوری طراحی شده‌اند که مشتری حس فهمیده‌شدن و اعتماد بگیرد.
آیا در ارتباط اولیه از نشانه‌های اعتماد مثل نمونه، تجربه، توضیح کوتاه یا مسیر روشن استفاده می‌کنید؟,8,4,کیفیت ارتباط اولیه و اعتمادسازی,نه، معمولاً فقط جواب سؤال را می‌دهیم.,گاهی نمونه یا توضیح اضافه می‌دهیم.,در بیشتر مکالمه‌ها یک نشانه اعتمادساز وجود دارد.,برای ارتباط اولیه دارایی‌های اعتمادساز آماده و قابل استفاده داریم.
آیا بعد از پاسخ اولیه، قدم بعدی برای مشتری روشن است؟,8,5,کیفیت ارتباط اولیه و اعتمادسازی,نه، مکالمه معمولاً باز و نامشخص می‌ماند.,گاهی قدم بعدی گفته می‌شود.,در بیشتر موارد قدم بعدی مشخص است.,هر پاسخ اولیه با قدم بعدی روشن، ساده و متناسب با وضعیت مشتری تمام می‌شود.
آیا تفاوت بین نیاز ظاهری و نیاز واقعی مشتری را تشخیص می‌دهید؟,9,2,کشف نیاز,نه، همان چیزی را که مشتری اول می‌گوید مبنا قرار می‌دهیم.,گاهی متوجه می‌شویم پشت درخواست اولیه مسئله دیگری هست.,در بیشتر موارد با چند سؤال نیاز واقعی را بهتر می‌فهمیم.,فرایند کشف نیاز کمک می‌کند نیاز واقعی، پیامد و اولویت مشتری مشخص شود.
قبل از ارائه قیمت یا راه‌حل، آیا می‌پرسید مشتری دقیقاً چه مسئله‌ای دارد؟,9,1,کشف نیاز,نه، معمولاً سریع وارد قیمت یا معرفی محصول می‌شویم.,گاهی یک سؤال کلی می‌پرسیم.,معمولاً مسئله اصلی مشتری را می‌پرسیم.,قبل از ارائه، وضعیت، مسئله، هدف و معیار تصمیم مشتری را ساختارمند کشف می‌کنیم.
آیا اطلاعاتی که در مکالمه می‌فهمید جایی ثبت می‌شود؟,9,3,کشف نیاز,نه، بیشتر در ذهن فروشنده می‌ماند.,گاهی یادداشت می‌شود، اما کامل و منظم نیست.,اطلاعات اصلی مشتری در بیشتر موارد ثبت می‌شود.,نیاز، هدف، مانع، فوریت و معیار خرید مشتری به‌صورت منظم ثبت می‌شود.
آیا مشتری قبل از شنیدن پیشنهاد، حس می‌کند واقعاً فهمیده شده؟,9,5,کشف نیاز,نه، معمولاً سریع وارد فروش می‌شویم.,گاهی این حس ایجاد می‌شود.,در بیشتر مکالمه‌ها مشتری حس می‌کند به حرفش گوش داده شده.,کشف نیاز طوری انجام می‌شود که مشتری قبل از ارائه، اعتماد و آمادگی بیشتری پیدا کند.
آیا بعد از مکالمه، پیشنهاد شما به شرایط همان مشتری وصل می‌شود؟,9,4,کشف نیاز,نه، بیشتر پیشنهادها عمومی و یکسان‌اند.,کمی شخصی‌سازی می‌کنیم، اما محدود.,معمولاً پیشنهاد را تا حدی به نیاز مشتری وصل می‌کنیم.,پیشنهاد بر اساس مسئله، هدف و معیار تصمیم همان مشتری ارائه می‌شود.
وقتی راه‌حل را ارائه می‌کنید، از مسئله مشتری شروع می‌کنید یا از ویژگی‌های محصول؟,10,1,ارائه حرفه‌ای,بیشتر از محصول، امکانات یا قیمت شروع می‌کنیم.,گاهی به مسئله مشتری اشاره می‌کنیم.,معمولاً ارائه را به مسئله مشتری وصل می‌کنیم.,ارائه همیشه با خلاصه وضعیت و مسئله مشتری شروع می‌شود.
آیا مشتری بعد از ارائه دقیقاً می‌فهمد این راه‌حل چرا برای او مناسب است؟,10,2,ارائه حرفه‌ای,نه، ارائه عمومی است.,تا حدی متوجه می‌شود، اما هنوز سؤال زیاد دارد.,در بیشتر موارد ارتباط پیشنهاد با نیاز مشتری روشن است.,ارائه کاملاً شخصی‌سازی شده و دلیل تناسب راه‌حل برای مشتری واضح است.
آیا در ارائه، نتیجه مورد انتظار، فرایند، قیمت و قدم بعدی روشن توضیح داده می‌شود؟,10,3,ارائه حرفه‌ای,نه، بعضی بخش‌ها مبهم می‌ماند.,بعضی موارد توضیح داده می‌شود، اما ساختار ثابت ندارد.,بیشتر ارائه‌ها شامل نتیجه، فرایند، قیمت و قدم بعدی است.,قالب ارائه کامل و یکدست شامل مسئله، راه‌حل، نتیجه، شواهد، قیمت و قدم بعدی است.
آیا برای اثبات ارزش پیشنهاد، نمونه، تجربه مشتری یا مدرک قابل لمس دارید؟,10,4,ارائه حرفه‌ای,نه، بیشتر توضیح شفاهی می‌دهیم.,چند نمونه داریم، اما آماده و منظم نیست.,در بیشتر ارائه‌ها از نمونه یا مدرک استفاده می‌کنیم.,بانک نمونه، کیس، رضایت یا مدرک برای سناریوهای مختلف آماده است.
بعد از ارائه، مشتری معمولاً سردرگم می‌شود یا می‌داند باید چه تصمیمی بگیرد؟,10,5,ارائه حرفه‌ای,معمولاً هنوز ابهام دارد و تصمیم عقب می‌افتد.,گاهی قدم بعدی روشن است.,بیشتر مشتری‌ها بعد از ارائه قدم بعدی را می‌دانند.,ارائه با جمع‌بندی، پاسخ ابهام و اقدام بعدی کاملاً روشن تمام می‌شود.
قبل از خرید، معمولاً می‌دانید مشتری‌ها بیشتر چه سؤال‌هایی می‌پرسند یا روی چه چیزهایی گیر می‌کنند؟,11,1,برخورد با اعتراضات,نه، هر بار در لحظه با اعتراض‌ها روبه‌رو می‌شویم.,چند اعتراض رایج را می‌شناسیم، اما ثبت نکرده‌ایم.,اعتراض‌های پرتکرار را می‌شناسیم.,اعتراض‌های پرتکرار ثبت، دسته‌بندی و تحلیل شده‌اند.
وقتی مشتری درباره خرید شک دارد، جواب شما معمولاً چقدر آماده و قانع‌کننده است؟,11,2,برخورد با اعتراضات,پاسخ‌ها بداهه و وابسته به فرد است.,چند پاسخ آماده داریم، اما کامل نیست.,برای بیشتر اعتراض‌ها پاسخ منطقی داریم.,برای هر اعتراض مهم، پاسخ، مثال، مدرک و سؤال تکمیلی آماده داریم.
قبل از خرید، مشتری می‌تواند نمونه، تجربه مشتری قبلی، نتیجه واقعی یا مدرکی ببیند که خیالش راحت‌تر شود؟,11,3,برخورد با اعتراضات,نه، مدرک مشخصی ارائه نمی‌کنیم.,گاهی نمونه یا رضایت مشتری نشان می‌دهیم.,در بیشتر موارد مدرک یا نمونه قابل ارائه داریم.,برای تردیدهای مختلف، نمونه، کیس، رضایت، دمو یا ضمانت مناسب داریم.
وقتی مشتری شما را با گزینه‌های دیگر مقایسه می‌کند، آیا کمکش می‌کنید درست تصمیم بگیرد؟,11,4,برخورد با اعتراضات,نه، معمولاً فقط از خودمان دفاع می‌کنیم یا تخفیف می‌دهیم.,گاهی تفاوت‌ها را توضیح می‌دهیم.,معمولاً مقایسه را با معیارهای درست مدیریت می‌کنیم.,چارچوب مقایسه، مزیت‌ها، محدودیت‌ها و معیار انتخاب را شفاف توضیح می‌دهیم.
اگر مشتری نگران باشد که خرید اشتباهی انجام دهد، آیا چیزی دارید که ریسک تصمیمش را کمتر کند؟,11,5,برخورد با اعتراضات,نه، ریسک تصمیم با خود مشتری است.,گاهی قول یا اطمینان شفاهی می‌دهیم.,بعضی روش‌ها مثل ضمانت، دمو یا نمونه داریم.,کاهش ریسک به شکل مشخص در پیشنهاد، مکالمه و فرایند خرید طراحی شده است.
وقتی مشتری تصمیم می‌گیرد از شما خرید کند، دقیقاً می‌داند قدم بعدی چیست؟,12,1,نهایی‌سازی فروش,نه، معمولاً باید بپرسد حالا چه کار کند.,گاهی قدم بعدی گفته می‌شود.,در بیشتر موارد قدم بعدی مشخص است.,مسیر اقدام، پرداخت، ثبت سفارش یا قرارداد کاملاً روشن و ساده است.
برای اینکه مشتری از شما خرید کند، مسیر خرید چقدر کوتاه و راحت است؟,12,2,نهایی‌سازی فروش,مسیر پیچیده، کند یا وابسته به هماهنگی زیاد است.,مسیر قابل انجام است، اما اصطکاک دارد.,مسیر نسبتاً ساده است.,مسیر خرید کوتاه، روشن، کم‌اصطکاک و قابل پیگیری است.
قبل از خرید، آیا قیمت، شرایط، مراحل، زمان تحویل یا نحوه دریافت خدمت برای مشتری واضح است؟,12,3,نهایی‌سازی فروش,نه، مشتری باید زیاد سؤال کند.,بخشی از اطلاعات واضح است، اما همه چیز نه.,بیشتر اطلاعات اصلی روشن است.,همه اطلاعات لازم برای تصمیم و خرید شفاف، مرتب و قابل دسترسی است.
وقتی مشتری نشانه‌ای از آمادگی خرید نشان می‌دهد، چقدر سریع و منظم پیگیری می‌شود؟,12,4,نهایی‌سازی فروش,پیگیری نامنظم است و فرصت‌ها از دست می‌روند.,گاهی پیگیری می‌کنیم، اما به حافظه فرد وابسته است.,بیشتر مشتری‌های آماده خرید پیگیری می‌شوند.,پیگیری مشتری آماده خرید زمان‌بندی، مسئول و وضعیت مشخص دارد.
بعد از اینکه مشتری خرید می‌کند، آیا بلافاصله می‌فهمد خریدش درست ثبت شده و قدم بعدی چیست؟,12,5,نهایی‌سازی فروش,نه، بعد از پرداخت یا سفارش ابهام دارد.,گاهی تأیید می‌کنیم، اما ساختار ثابت ندارد.,بیشتر خریدها با پیام تأیید و توضیح قدم بعدی همراه است.,بعد از خرید، پیام تأیید، تشکر، زمان‌بندی و قدم بعدی به‌صورت استاندارد ارسال می‌شود.
وقتی مشتری از شما نتیجه خوبی می‌گیرد یا راضی است، آیا از تجربه او برای جذب و اعتمادسازی مشتری‌های بعدی استفاده می‌کنید؟,13,5,وفاداری مشتری,نه، تجربه مشتری‌ها جمع‌آوری نمی‌شود.,گاهی رضایت مشتری را منتشر می‌کنیم.,بعضی تجربه‌های خوب را به محتوا یا نمونه تبدیل می‌کنیم.,تجربه مشتری‌های موفق به‌صورت منظم به کیس، محتوا، نظر، معرفی یا مدرک فروش تبدیل می‌شود.
